1;ааайдамирова;{"name": "ааайдамирова"}
2;ааараканцева;{"name": "ааараканцева"}
3;аабязова;{"name": "аабязова"}
4;аакадырова;{"name": "аакадырова"}
5;аалеева;{"name": "аалеева"}
6;аалександрова;{"name": "аалександрова"}
7;аалексеева;{"name": "аалексеева"}
8;аалибаева;{"name": "аалибаева"}
9;аандреева;{"name": "аандреева"}
10;ааобжерина;{"name": "ааобжерина"}
11;ааосипова;{"name": "ааосипова"}
12;аахматовой;{"name": "аахматовой"}
13;ааященко;{"name": "ааященко"}
14;абазанская;{"name": "абазанская"}
15;абазинский;{"name": "абазинский"}
16;абакан;{"name": "абакан"}
17;абаканская;{"name": "абаканская"}
18;абаканский;{"name": "абаканский"}
19;абакумовка;{"name": "абакумовка"}
20;абакумовская;{"name": "абакумовская"}
21;абалаковская;{"name": "абалаковская"}
22;абанский;{"name": "абанский"}
23;абанский разрез;{"name": "абанский разрез"}
24;абатская;{"name": "абатская"}
25;абатское;{"name": "абатское"}
26;абашева;{"name": "абашева"}
27;абашевская;{"name": "абашевская"}
28;абая кунанбаева;{"name": "абая кунанбаева"}
29;аббакумовская;{"name": "аббакумовская"}
30;абганеровская;{"name": "абганеровская"}
31;абдрашитова;{"name": "абдрашитова"}
32;абдряш батыр;{"name": "абдряш батыр"}
33;абдулинская;{"name": "абдулинская"}
34;абдуллы алиша;{"name": "абдуллы алиша"}
35;абдулмеджидова;{"name": "абдулмеджидова"}
36;абезь;{"name": "абезь"}
37;абельмана;{"name": "абельмана"}
38;абельмановская;{"name": "абельмановская"}
39;абеля;{"name": "абеля"}
40;абжалилова;{"name": "абжалилова"}
41;абз промзона;{"name": "абз промзона"}
42;абзановская;{"name": "абзановская"}
43;абзановский 1й;{"name": "абзановский 1й"}
44;абзановский 2й;{"name": "абзановский 2й"}
45;абзелиловская;{"name": "абзелиловская"}
46;абидуева;{"name": "абидуева"}
47;абинск;{"name": "абинск"}
48;абинский;{"name": "абинский"}
49;абисултанова;{"name": "абисултанова"}
50;абк зона;{"name": "абк зона"}
51;абк1 промзона;{"name": "абк1 промзона"}
52;аблова;{"name": "аблова"}
53;аблока;{"name": "аблока"}
54;аблукова;{"name": "аблукова"}
55;абовяна;{"name": "абовяна"}
56;аболотова;{"name": "аболотова"}
57;абоянская;{"name": "абоянская"}
